Code,Name,Description
JURLT1F,"Jurisdiction With Maximum Sentence 1 Year Or Less, Females (1978-Current)","On December 31, how many inmates under your jurisdiction -- b. Had a total maximum sentence of 1 year or less - Female"
JURLT1M,"Jurisdiction With Maximum Sentence 1 Year Or Less, Males (1978-Current)","On December 31, how many inmates under your jurisdiction -- b. Had a total maximum sentence of 1 year or less - Male"
JURTOTF,"Total Under Jurisdiction, Females (1978-Current)","On December 31, how many inmates under your jurisdiction -- d. Total - Female"
JURTOTM,"Total Under Jurisdiction, Males (1978-Current)","On December 31, how many inmates under your jurisdiction -- d. Total - Male"
JURUNSF,"Jurisdiction Unsentenced, Females (1978-Current)","On December 31, how many inmates under your jurisdiction -- c. Were unsentenced - Female"
JURUNSM,"Jurisdiction Unsentenced, Males (1978-Current)","On December 31, how many inmates under your jurisdiction -- c. Were unsentenced - Male"
LFCRINCF,"Local Facilities Solely To Ease Crowding, Included In Jurisdiction Totals, Female (1978-1998)","Number of State inmates housed in local facilities solely to ease crowding, included in jurisdiction totals - Female"
LFCRINCM,"Local Facilities Solely To Ease Crowding, Included In Jurisdiction Totals, Male (1978-1998)","Number of State inmates housed in local facilities solely to ease crowding, included in jurisdiction totals - Male"
LFCROWDF,"Local Facilities Solely To Ease Prison Crowding, Female (1978-2000)","Of the inmates reported in item a, how many were housed in local facilities solely to ease prison crowding? - Female"
LFCROWDM,"Local Facilities Solely To Ease Prison Crowding, Male (1978-2000)","Of the inmates reported in item a, how many were housed in local facilities solely to ease prison crowding? - Male"
LFCRSTF,"Local Facilities Solely To Ease Prison Crowding, Female (Pre-1978)","Number of State inmates housed in local facilities solely to ease prison crowding on December 31, 1978 - Female"
LFCRSTM,"Local Facilities Solely To Ease Prison Crowding, Male (Pre-1978)","Number of State inmates housed in local facilities solely to ease prison crowding on December 31, 1978 - Male"
LFF,"Inmates Under Jurisdiction Housed In Local Facilities Operated By County Or Other Local Authority, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in local facilities operated by a county or other local authority? Exclude inmates housed in privately operated facilities. Include inmates housed in local facilities under contract or other arrangement. a. TOTAL - Female"
LFINCLF,"Are Local Facilities Included In Jurisdiction Totals, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in local facilities operated by a county or other local authority? Exclude inmates housed in privately operated facilities. Include inmates housed in local facilities under contract or other arrangement.  - Female"
LFINCLM,"Are Local Facilities Included In Jurisdiction Totals, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in local facilities operated by a county or other local authority? Exclude inmates housed in privately operated facilities. Include inmates housed in local facilities under contract or other arrangement.  - Male"
LFM,"Inmates Under Jurisdiction Housed In Local Facilities Operated By County Or Other Local Authority, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in local facilities operated by a county or other local authority? Exclude inmates housed in privately operated facilities. Include inmates housed in local facilities under contract or other arrangement. a. TOTAL - Male"
NCITZDOCS,"Citizenship Information Is Obtained From Court Or Law Enforcement Documents Accompanying Prisoner On Admission, Indicator Variable (2017-2020)",What is the source of inmates' citizenship status that is recorded in your system (check all that apply): Law enforcement or court documents accompanying inmate upon admission to prison
NCITZGT1F,"Non-Citizens Sentenced To More Than 1 Year In Custody As Well As Those In Private Prison Facilities, Female (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- a. Had a sentence of more than 1 year - Female"
NCITZGT1M,"Non-Citizens Sentenced To More Than 1 Year In Custody As Well As Those In Private Prison Facilities, Male (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- a. Had a sentence of more than 1 year - Male"
NCITZLE1F,"Non-Citizens Sentenced To 1 Year Or Less In Custody As Well As Those In Private Prison Facilities, Female (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- b. Had a sentence of 1 year of less - Female"
NCITZLE1M,"Non-Citizens Sentenced To 1 Year Or Less In Custody As Well As Those In Private Prison Facilities, Male (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- b. Had a sentence of 1 year of less - Male"
NCITZSELF,"Citizenship Information Is Self-Reported By Prisoner, Indicator Variable (2017-2020)",What is the source of inmates' citizenship status that is recorded in your system (check all that apply): Inmate self-report
NCITZTOT,Total Non-Citizens In Custody As Well As Those In Private Prison Facilities (2019-Current),"On December 31, how many inmates in your custody, plus those held in private prisons, were -- Non-U.S. Citizens"
NCITZTOTF,"Total Non-Citizens In Custody As Well As Those In Private Prison Facilities, Female (2017-Current)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- d. Total - Female"
NCITZTOTM,"Total Non-Citizens In Custody As Well As Those In Private Prison Facilities, Male (2017-Current)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- d. Total - Male"
NCITZUNSF,"Unsentenced Non-Citizens In Custody As Well As Those In Private Prison Facilities, Female (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- c. were unsentenced - Female"
NCITZUNSM,"Unsentenced Non-Citizens In Custody As Well As Those In Private Prison Facilities, Male (2017-2020)","On December 31, how many inmates in your custody who were not citizens of the United States, plus those held in private prisons who were not citizens of the United States -- c. were unsentenced - Male"
NCITZVERIF,"Citizenship Information Is Verified Using An External Source, Indicator Variable (2017-2020)",What is the source of inmates' citizenship status that is recorded in your system (check all that apply): Verification of citizenship status using an external data source
NHPIF,Native Hawaiian Or Other Pacific Island Female (1997-Current),"On December 31, how many inmates under your jurisdiction were - f. Native Hawaiian or other Pacific Islander (not of Hispanic origin.) - Female"
NHPIM,Native Hawaiian Or Other Pacific Islander Male (1997-Current),"On December 31, how many inmates under your jurisdiction were - f. Native Hawaiian or other Pacific Islander (not of Hispanic origin.) - Male"
NOTHISPF,"Not Of Hispanic Origin, Female (1978-1999)",How many of your prisoners were not of Hispanic origin on December 31 - Female?
NOTHISPM,"Not Of Hispanic Origin, Male (1978-1999)",How many of your prisoners were not of Hispanic origin on December 31 - Male?
OTHSTF,"Inmates Under Jurisdiction Housed In Other States' Facilities, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. b. In other States' facilities -- Include only those inmates housed in State-operated facilities in other States - Female"
OTHSTM,"Inmates Under Jurisdiction Housed In Other States' Facilities, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. b. In other States' facilities -- Include only those inmates housed in State-operated facilities in other States - Male"
PARNEWF,"Parole Violators With New Sentence, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- b. Parole violators -- (1) with a new sentence - Female"
PARNEWM,"Parole Violators With New Sentence, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- b. Parole violators -- (1) with a new sentence - Male"
PARNOF,"Parole Violators Without New Sentence, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- b. Parole violators -- (2) without a new sentence (Include violators returned without a new sentence, those held pending a hearing, and those not formally revoked) - Female"
PARNOM,"Parole Violators Without New Sentence, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- b. Parole violators -- (2) without a new sentence (Include violators returned without a new sentence, those held pending a hearing, and those not formally revoked) - Male"
PVINCLF,"Are Privately Operated Correction Facility Numbers Included In Jurisdiction Totals, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility.- Female"
PVINCLM,"Are Privately Operated Correction Facility Numbers Included In Jurisdiction Totals, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility. - Male"
PVINF,"Inmates Under Jurisdiction Housed In Privately Operated Correctional Facility In State, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility. a. In your state - Female"
PVINM,"Inmates Under Jurisdiction Housed In Privately Operated Correctional Facility In State, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility. a. In your state - Male"
PVOTHF,"Inmates Under Jurisdiction Housed In Privately Operated Correctional Facility In Other State, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility. b. In another State - Female"
PVOTHM,"Inmates Under Jurisdiction Housed In Privately Operated Correctional Facility In Other State, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed in a privately operated correctional facility -- Exclude inmates housed in any publicly operated facility, even if under contract. Include inmates housed in any privately operated halfway houses, treatment facilities, hospitals, or other special facility. b. In another State - Male"
RLAWESF,"Awol Release Or Escape, Combined, Female (1979-1998)",
RLAWESM,"Awol Release Or Escape, Combined, Male (1979-1998)",
RLAWOLF,"Awol Release, Female (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- d. AWOLS - Female"
RLAWOLM,"Awol Release, Male (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- d. AWOLS - Male"
RLBONDF,"Release To Appeal Or Bond, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- g. Releases to appeal or bond - Female"
RLBONDM,"Release To Appeal Or Bond, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- g. Releases to appeal or bond - Male"
RLCODPF,"Discretionary Parole, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (3) Discretionary paroles - Female"
RLCODPM,"Discretionary Parole, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (3) Discretionary paroles - Male"
RLCOOTHF,"Other Conditional Release, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (4) Other conditional releases - Specify - Female"
RLCOOTHM,"Other Conditional Release, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (4) Other conditional releases - Specify - Male"
RLCOPROF,"Conditional Release Probations, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (1) Probations (Include inmates released on shock probation or placed on probation and conditionally released) - Female"
RLCOPROM,"Conditional Release Probations, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (1) Probations (Include inmates released on shock probation or placed on probation and conditionally released) - Male"
RLCOSUPF,"Supervised Mandatory Release, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (2) Supervised mandatory releases (Include inmates who by law had to be conditionally released) - Female"
RLCOSUPM,"Supervised Mandatory Release, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- b. Conditional releases (2) Supervised mandatory releases (Include inmates who by law had to be conditionally released) - Male"
RLDEATHF,"Deaths, Female (1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- c. Deaths - Female"
RLDEATHM,"Deaths, Male (1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- c. Deaths - Male"
RLESCAPF,"Escape From Confinement, Female (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- e. Escapes from confinement - Female"
RLESCAPM,"Escape From Confinement, Male (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- e. Escapes from confinement - Male"
RLOTHF,"Other Release, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- h. Other releases - Specify - Female"
RLOTHM,"Other Release, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- h. Other releases - Specify - Male"
RLTOTF,"Total Releases, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- i. Total releases January 1 - December 31 - Female"
RLTOTM,"Total Releases, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- i. Total releases January 1 - December 31 - Male"
RLTRANF,"Transfers To Other Jurisdictions, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- f. Transfers to other jurisdictions (Include inmates sent to other jurisdictions to continue sentences already in force.) - Female"
RLTRANM,"Transfers To Other Jurisdictions, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- f. Transfers to other jurisdictions (Include inmates sent to other jurisdictions to continue sentences already in force.) - Male"
RLUNCOMF,"Unconditional Release Commutations, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 2) Commutations (Include inmates whose sentence was lowered to time served to allow for an immediate unconditional release) - Female"
RLUNCOMM,"Unconditional Release Commutations, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 2) Commutations (Include inmates whose sentence was lowered to time served to allow for an immediate unconditional release) - Male"
RLUNEXPF,"Unconditional Release Expirations Of Sentence, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 1) Expirations of sentence (Include inmates who served their maximum sentence minus credits) - Female"
RLUNEXPM,"Unconditional Release Expirations Of Sentence, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 1) Expirations of sentence (Include inmates who served their maximum sentence minus credits) - Male"
RLUNOTHF,"Other Unconditional Release, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 3) Other unconditional releases - Specify - Female"
RLUNOTHM,"Other Unconditional Release, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were released as -- a. Unconditional releases 3) Other unconditional releases - Specify - Male"
TOTHCATF,"Total Hispanic, Non-Hispanic, And Unknown, Female (1984-1999)",What was the total number of prisoners of any Hispanic origin on December 31 - Female?
TOTHCATM,"Total Hispanic, Non-Hispanic, And Unknown, Male (1984-1999)",What was the total number of prisoners of any Hispanic origin on December 31 - Male?
TOTRACEF,"Total Race, Female (1978-Current)","On December 31, how many inmates under your jurisdiction were - j. Total - Female"
TOTRACEM,"Total Race, Male (1978-Current)","On December 31, how many inmates under your jurisdiction were - j. Total - Male"
TWORACEF,Two Or More Races Female (2005-Current),"On December 31, how many inmates under your jurisdiction were - g. Two or more races (not of Hispanic origin.) - Female"
TWORACEM,Two Or More Races Male (2005-Current),"On December 31, how many inmates under your jurisdiction were - g. Two or more races (not of Hispanic origin.) - Male"
UNCITZTOTF,"Total Persons Of Unknown Citizenship In Custody As Well As Those In Private Prison Facilities, Female (2021-Current)","On December 31, how many inmates in your custody, plus those held in private prisons, were -- Unknown Citizenship"
UNCITZTOTM,"Total Persons Of Unknown Citizenship In Custody As Well As Those In Private Prison Facilities, Male (2021-Current)","On December 31, how many inmates in your custody, plus those held in private prisons, were -- Unknown Citizenship"
UNKCITZTOT,Total People Of Unknown Citizenship In Custody As Well As Those In Private Prison Facilities (2020-Current),"On December 31, how many inmates in your custody, plus those held in private prisons, were -- Unknown Citizenship"
UNKHISPF,"Unknown Hispanic Or Latino Origin, Female (1978-1999)",How many of your prisoners were of unknown Hispanic origin on December 31 - Female?
UNKHISPM,"Unknown Hispanic Or Latino Origin, Male (1978-1999)",How many of your prisoners were of unknown Hispanic origin on December 31 - Male?
UNKRACEF,"Unknown Race, Female (1978-Current)","On December 31, how many inmates under your jurisdiction were - i. Not known- Female"
UNKRACEM,"Unknown Race, Male (1978-Current)","On December 31, how many inmates under your jurisdiction were - i. Not known - Male"
WHITEF,White Female (1978-Current),"On December 31, how many inmates under your jurisdiction were - a. White (not of Hispanic origin) - Female"
WHITEM,White Male (1978-Current),"On December 31, how many inmates under your jurisdiction were - a. White (not of Hispanic origin) - Male"
